gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
687015940	dce00a1f-f6b4-4e11-9771-92c62c40ad80	c3739b35-b069-11e3-8cfe-90b11c41863e	Animalia	Chordata	Amphibia	Anura	Bombinatoridae	Barbourula	Barbourula busuangensis		SPECIES	Barbourula busuangensis Taylor & Noble, 1924	Barbourula busuangensis		PH	Barangay Estrella, Estrella Falls Park	Palawan Province	PRESENT		b554c320-0560-11d8-b851-b8a03c50a862	9.360833	118.399722											KMPP	KMPP	PRESERVED_SPECIMEN	KU	KUH	324596				CC_BY_4_0		Diesmos, Arvin			2026-06-16T07:48:47.169Z		COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
687013525	dce00a1f-f6b4-4e11-9771-92c62c40ad80	c3ee9f78-b069-11e3-8cfe-90b11c41863e	Animalia	Chordata	Amphibia	Anura	Bombinatoridae	Barbourula	Barbourula busuangensis		SPECIES	Barbourula busuangensis Taylor & Noble, 1924	Barbourula busuangensis		PH	Barangay Irawan: Irawan Watershed	Palawan Province	PRESENT		b554c320-0560-11d8-b851-b8a03c50a862	9.8368	118.64125							2008-03-14	14	3	2008	KMPP	KMPP	PRESERVED_SPECIMEN	KU	KUH	308965		Brown , Rafe	2008-03-28T00:00:00	CC_BY_4_0		Brown , Rafe;Fernandez, Jason			2026-06-16T07:48:44.055Z		GEODETIC_DATUM_ASSUMED_WGS84
687013325	dce00a1f-f6b4-4e11-9771-92c62c40ad80	b0acecbf-b069-11e3-8cfe-90b11c41863e	Animalia	Chordata	Amphibia	Anura	Bombinatoridae	Barbourula	Barbourula busuangensis		SPECIES	Barbourula busuangensis Taylor & Noble, 1924	Barbourula busuangensis		PH	Barangay Estrella, Estrella Falls Park	Palawan Province	PRESENT		b554c320-0560-11d8-b851-b8a03c50a862	9.360833	118.399722							2001-01-15	15	1	2001	KMPP	KMPP	PRESERVED_SPECIMEN	KU	KUH	324599				CC_BY_4_0		Brown , Rafe			2026-06-16T07:48:52.426Z		COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
687012416	dce00a1f-f6b4-4e11-9771-92c62c40ad80	c3b5eb65-b069-11e3-8cfe-90b11c41863e	Animalia	Chordata	Amphibia	Anura	Bombinatoridae	Barbourula	Barbourula busuangensis		SPECIES	Barbourula busuangensis Taylor & Noble, 1924	Barbourula busuangensis		PH	Barangay Irawan: Irawan Watershed	Palawan Province	PRESENT		b554c320-0560-11d8-b851-b8a03c50a862	9.837983	118.631983							2007-03-21	21	3	2007	KMPP	KMPP	PRESERVED_SPECIMEN	KU	KUH	309395		Brown, Rafe		CC_BY_4_0					2026-06-16T07:48:44.103Z		COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
687010930	dce00a1f-f6b4-4e11-9771-92c62c40ad80	c4ae45a7-b069-11e3-8cfe-90b11c41863e	Animalia	Chordata	Amphibia	Anura	Bombinatoridae	Barbourula	Barbourula busuangensis		SPECIES	Barbourula busuangensis Taylor & Noble, 1924	Barbourula busuangensis		PH	Barangay Estrella, Estrella Falls Park	Palawan Province	PRESENT		b554c320-0560-11d8-b851-b8a03c50a862	9.360833	118.399722											KMPP	KMPP	PRESERVED_SPECIMEN	KU	KUH	324597				CC_BY_4_0		Diesmos, Arvin			2026-06-16T07:48:44.668Z		COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
687010383	dce00a1f-f6b4-4e11-9771-92c62c40ad80	c4241343-b069-11e3-8cfe-90b11c41863e	Animalia	Chordata	Amphibia	Anura	Bombinatoridae	Barbourula	Barbourula busuangensis		SPECIES	Barbourula busuangensis Taylor & Noble, 1924	Barbourula busuangensis		PH	Barangay Irawan: Irawan Watershed	Palawan Province	PRESENT		b554c320-0560-11d8-b851-b8a03c50a862	9.835733	118.652467							2007-03-17	17	3	2007	KMPP	KMPP	PRESERVED_SPECIMEN	KU	KUH	309243		Brown, Rafe		CC_BY_4_0		Brown, Rafe;Fernandez, Jason			2026-06-16T07:48:44.328Z		COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;IDENTIFIED_DATE_INVALID
687010364	dce00a1f-f6b4-4e11-9771-92c62c40ad80	b093ea23-b069-11e3-8cfe-90b11c41863e	Animalia	Chordata	Amphibia	Anura	Bombinatoridae	Barbourula	Barbourula busuangensis		SPECIES	Barbourula busuangensis Taylor & Noble, 1924	Barbourula busuangensis		PH	Barangay Irawan: Irawan Watershed	Palawan Province	PRESENT		b554c320-0560-11d8-b851-b8a03c50a862	9.835733	118.652467							2007-03-17	17	3	2007	KMPP	KMPP	PRESERVED_SPECIMEN	KU	KUH	309387		Brown, Rafe		CC_BY_4_0					2026-06-16T07:48:44.621Z		COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
687010233	dce00a1f-f6b4-4e11-9771-92c62c40ad80	c3b5ad47-b069-11e3-8cfe-90b11c41863e	Animalia	Chordata	Amphibia	Anura	Bombinatoridae	Barbourula	Barbourula busuangensis		SPECIES	Barbourula busuangensis Taylor & Noble, 1924	Barbourula busuangensis		PH	Barangay Estrella, Estrella Falls Park	Palawan Province	PRESENT		b554c320-0560-11d8-b851-b8a03c50a862	9.360833	118.399722							2001-01-16	16	1	2001	KMPP	KMPP	PRESERVED_SPECIMEN	KU	KUH	324605				CC_BY_4_0		Brown , Rafe			2026-06-16T07:48:52.264Z		COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
687007475	dce00a1f-f6b4-4e11-9771-92c62c40ad80	c385ef82-b069-11e3-8cfe-90b11c41863e	Animalia	Chordata	Amphibia	Anura	Bombinatoridae	Barbourula	Barbourula busuangensis		SPECIES	Barbourula busuangensis Taylor & Noble, 1924	Barbourula busuangensis		PH	Barangay Irawan: Irawan Watershed	Palawan Province	PRESENT		b554c320-0560-11d8-b851-b8a03c50a862	9.8368	118.64125							2007-03-14	14	3	2007	KMPP	KMPP	PRESERVED_SPECIMEN	KU	KUH	309042		Brown , Rafe		CC_BY_4_0		Brown , Rafe;Fernandez, Jason			2026-06-16T07:48:43.126Z		GEODETIC_DATUM_ASSUMED_WGS84;IDENTIFIED_DATE_INVALID
687007394	dce00a1f-f6b4-4e11-9771-92c62c40ad80	b0d3ce8c-b069-11e3-8cfe-90b11c41863e	Animalia	Chordata	Amphibia	Anura	Bombinatoridae	Barbourula	Barbourula busuangensis		SPECIES	Barbourula busuangensis Taylor & Noble, 1924	Barbourula busuangensis		PH	Barangay Irawan: Irawan Watershed	Palawan Province	PRESENT		b554c320-0560-11d8-b851-b8a03c50a862	9.8368	118.64125							2008-03-14	14	3	2008	KMPP	KMPP	PRESERVED_SPECIMEN	KU	KUH	308994		Brown , Rafe	2008-03-28T00:00:00	CC_BY_4_0		Brown , Rafe;Fernandez, Jason			2026-06-16T07:48:51.680Z		GEODETIC_DATUM_ASSUMED_WGS84
687006360	dce00a1f-f6b4-4e11-9771-92c62c40ad80	c46c961a-b069-11e3-8cfe-90b11c41863e	Animalia	Chordata	Amphibia	Anura	Bombinatoridae	Barbourula	Barbourula busuangensis		SPECIES	Barbourula busuangensis Taylor & Noble, 1924	Barbourula busuangensis		PH	Barangay Irawan: Irawan Watershed	Palawan Province	PRESENT		b554c320-0560-11d8-b851-b8a03c50a862	9.835733	118.652467							2007-03-17	17	3	2007	KMPP	KMPP	PRESERVED_SPECIMEN	KU	KUH	309388		Brown, Rafe		CC_BY_4_0					2026-06-16T07:48:43.920Z		COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
