Species,SEX,Accession no.,Field Catalog. #,Population,Province,PAIC,Latitude,Longitude,S.V.L.,H.L.,SNL,ED,TD,E-N,IND,IOD,H.W.,forearm,femur,tibia,tarsus,foot,hand,Toe4L,Fin1L,Fin3L,3rd fin DW,3rd FinPF width,Toe 4 DW,Toe 4 PF width,PP/FinD3W,PP/Toe4DW,Toe4DW/Fin3DW
P_guiting,M,KU 309117,RMB 5210,Sibuyan,Romblon,RIG,12.49165,122.5908833,13.5,6.2,2.1,1.6,1.1,1.2,1.4,1.7,5.7,3.1,6.6,6.9,4.1,6,3.2,4.2,1.3,1.9,0.2,0.2,0.5,0.3,1,0.6,2.5
P_guiting,M,KU 315300,RMB  8797,Tablas,Romblon,RIG,12.605253,122.04552,14.5,6.4,2.4,1.5,1.1,1.2,1.6,1.7,6.4,4.5,7.6,7.5,4.6,7.5,3.2,4.1,1.9,2.3,0.4,0.3,0.4,0.3,0.8,0.8,1
P_guiting,M,KU 315301,RMB  8830,Tablas,Romblon,RIG,12.605253,122.04552,15.1,6.6,2.8,1.7,1.2,1.6,1.7,1.5,5.7,4,7.6,7.8,5,7.4,3.7,4,1.7,2.2,0.3,0.3,0.5,0.3,1,0.6,1.7
P_guiting,M,KU 315302,RMB  8835,Tablas,Romblon,RIG,12.605253,122.04552,15.6,6.7,2.8,1.9,1.1,1.5,1.9,1.7,6,4,8.9,8.9,5.4,8.1,4,5.2,2.2,2.3,0.2,0.2,0.3,0.3,1,1,1.5
P_guiting,M,KU 315303,RMB  8864,Tablas,Romblon,RIG,12.605253,122.04552,14.2,6.4,2.4,1.5,1.1,1.2,2.1,1.7,5.9,4,6.8,6.8,4.6,5.8,3.4,4.1,1.7,2.3,0.4,0.3,0.5,0.3,0.8,0.6,1.3
P_guiting,M,KU 315304,RMB  8866,Tablas,Romblon,RIG,12.605253,122.04552,13.1,6,2.5,1.6,1.1,1.5,1.8,1.7,5.9,3.8,7.5,7.2,4.3,6.4,3.1,4.1,1.6,2,0.3,0.2,0.4,0.3,0.7,0.8,1.3
P_guiting,M,KU 315305,RMB  8867,Tablas,Romblon,RIG,12.605253,122.04552,14.8,6.4,2.5,2.1,1,1.3,2.1,1.9,6.2,4,6.9,6.7,4.2,6,3.4,4.6,1.8,1.9,0.2,0.2,0.4,0.3,1,0.8,2
P_pygmaeus,M,KU 329003,RMB  13872,Angat,Bulacan,Luzon,15.0333,121.2032,15.3,6.3,2.5,1.6,1.2,1.7,1.7,2.2,6.6,4.2,9.1,8,5.3,7.6,3.5,4.4,1.5,1.7,0.3,0.2,0.6,0.4,0.7,0.7,2
P_pygmaeus,M,KU 329759,RMB  14359,Mt. Pao,Ilocos Norte,Luzon,18.438,120.878,14.6,5.7,2.4,1.7,1.3,1.5,1.7,2.1,6,4,7.6,6.7,4.6,6.8,3.1,4.4,2,1.8,0.5,0.4,0.5,0.3,0.8,0.6,1
P_pygmaeus,M,KU 329760,RMB 14360 ,Mt. Pao,Ilocos Norte,Luzon,18.43,120.859,16.5,6,2.4,2,1.1,1.2,1.8,1.9,6.8,4,8,7.8,4.6,7.5,3.3,4.3,1.4,1.9,0.4,0.4,0.4,0.3,1,0.8,1
P_pygmaeus,F,KU 346029,RMB  19761,Paete,Laguna,Luzon,14.3978,121.544,18.2,7.5,2.7,2,1.5,1.5,2.3,2.2,7.7,4.8,8.9,8.8,5.9,8.1,3.8,5.9,2.2,2.6,0.4,0.3,0.6,0.4,0.8,0.7,1.5
P_pygmaeus,M,KU 346030,RMB  19762,Paete,Laguna,Luzon,14.3978,121.544,12.3,5.2,2.1,1.4,1,1.1,1.4,1.5,5.3,3.4,7.8,6.6,3.9,6.2,2.5,3.4,1.5,1.5,0.2,0.2,0.2,0.2,1,1,1
P_pygmaeus,M,KU 346031,RMB  20447,Paete,Laguna,Luzon,14.3965,121.5458,14.2,5.8,2.6,1.8,1.2,1.7,1.8,1.8,6.6,3.9,8.1,7.9,4.9,7.4,3.5,5.2,1.5,1.8,0.3,0.3,0.5,0.4,1,0.8,1.7
P_pygmaeus,M,KU 346032,RMB  20516,Paete,Laguna,Luzon,14.3965,121.5458,13.6,6,2.3,1.7,1,1.3,1.8,1.8,6.6,4,8.3,7.7,4.7,7.1,3.2,4.3,1.5,1.7,0.3,0.2,0.6,0.4,0.7,0.7,2
