Sites,Long,Lat,Htypes,Elev,SPPTotal,Babu,Inph,Liac,Lipa,Ocla,Leta,Meli,Chfu,Pumo,Sasa,Stnu,Phev,Phlo,Pole,Poma,Brsp,Cyre,Geat,Gege,Gemo,Hety,Eumu,Bosc,Dema,Drru,Apbo,Trsu
ASG_ET1#,118.39624,9.37437,ASG,257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASG_ET4#,118.39899,9.3725,ASG,215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ESG_ET5#,118.40076,9.37183,ESG,188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CVT_ET6,118.40561,9.36728,CVT,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OGF_ET8,118.38606,9.3716,OGF,662,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OGF_ET10,118.38402,9.37247,OGF,754,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OGF_ET12,118.38359,9.37583,OGF,814,1,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OGF_MT1,118.3183,9.34486,OGF,1020,1,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OGF_MT4,118.31852,9.33391,OGF,474,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OGF_ALAMT1,118.2051,9.37192,OGF,425,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OGF_ALAMT2,118.20789,9.37277,OGF,507,1,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OGF_ALAMT3,118.20978,9.37354,OGF,537,1,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OGF_ALAMT5,118.21367,9.37574,OGF,686,1,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CVT_ALAMT7,118.21726,9.37453,CVT,778,1,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ESG_ALALT4#,118.17765,9.33964,ESG,147,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASG_IT5**#,118.50691,9.51048,ASG,259,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
ASG_ET2*#,118.39393,9.37445,ASG,353,2,0,0,0,0,0,0,0,0,0,0,1,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ESG_ET7#,118.39895,9.36523,ESG,170,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0
OGF_ET11,118.38312,9.37383,OGF,819,2,0,0,0,1,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OGF_MT2,118.31637,9.34071,OGF,783,2,0,0,0,0,0,0,0,0,0,2,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OGF_MT3,118.31746,9.33765,OGF,590,2,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,1,0,0,0,0,0,0,0,0,0,0,0
OGF_MT5,118.31979,9.3313,OGF,399,2,0,0,0,0,0,2,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OGF_MT6,118.3211,9.32871,OGF,374,2,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0
OGF_ALAMT4,118.21175,9.37462,OGF,619,2,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,1,0,0,0,0,0,0,0,0,0,0
OGF_ALAMT6,118.21601,9.37562,OGF,752,2,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,1,0
ESG_ALALT5,118.17454,9.33859,ESG,120,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ESG_IT2*,118.5152,9.5074,ESG,163,2,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
